species	trait_value
Cheirogaleus_medius	29.621917809999999
Daubentonia_madagascariensis	35.200000000000003
Eulemur_albifrons	34.586301370000001
Eulemur_collaris	32.613698630000002
Eulemur_coronatus	28.82465753
Eulemur_flavifrons	28.93424658
Eulemur_fulvus	35.997260269999998
Eulemur_macaco	34.476712329999998
Eulemur_mongoz	36.2739726
Eulemur_rubriventer	33.835616440000003
Eulemur_rufus	32.665753420000001
Eulemur_sanfordi	32.939726030000003
Galago_moholi	16.638356160000001
Hapalemur_griseus	23.77260274
Lemur_catta	32.728767120000001
Loris_tardigradus	21.539726030000001
Microcebus_murinus	17.964383560000002
Mirza_coquereli	19.972602739999999
Nycticebus_coucang	24.038356159999999
Nycticebus_pygmaeus	19.893150680000002
Otolemur_garnettii	20.005479449999999
Perodicticus_potto	32.353424660000002
Propithecus_coquereli	30.589041099999999
Varecia_rubra	37.542465749999998
Varecia_variegata	39.386301369999998
