species	trait_value
Cheirogaleus_medius	29.621917809999999
Daubentonia_madagascariensis	32.63561644
Eulemur_albifrons	27.745205479999999
Eulemur_collaris	32.353424660000002
Eulemur_coronatus	28.82465753
Eulemur_flavifrons	28.93424658
Eulemur_fulvus	34.449315069999997
Eulemur_macaco	34.476712329999998
Eulemur_mongoz	36.2739726
Eulemur_rubriventer	32.852054789999997
Eulemur_rufus	32.161643840000004
Eulemur_sanfordi	27.72054795
Galago_moholi	16.638356160000001
Hapalemur_griseus	23.030136989999999
Lemur_catta	32.728767120000001
Loris_tardigradus	21.539726030000001
Microcebus_murinus	17.964383560000002
Mirza_coquereli	18.05753425
Nycticebus_coucang	22.17534247
Nycticebus_pygmaeus	15.51232877
Otolemur_garnettii	20.005479449999999
Perodicticus_potto	30.002739729999998
Propithecus_coquereli	30.589041099999999
Varecia_rubra	34.372602739999998
Varecia_variegata	39.386301369999998
