species	trait_value
Aotus_trivirgatus	277.18181818181802
Callithrix_jacchus	312.37931034482801
Cheirogaleus_medius	649
Daubentonia_madagascariensis	808.66666666666697
Eulemur_albifrons	527.39999999999998
Eulemur_collaris	1189.5520833333301
Eulemur_coronatus	1075.5
Eulemur_flavifrons	299
Eulemur_fulvus	727
Eulemur_macaco	574.6875
Eulemur_mongoz	559
Eulemur_rubriventer	1386.75
Eulemur_rufifrons	1881.9166666666699
Gorilla_gorilla	414.101071428571
Hapalemur_griseus	1197.2142857142901
Lemur_catta	748.86666666666702
Macaca_arctoides	466.780303030303
Macaca_fascicularis	503.45098039215702
Macaca_mulatta	335.89987977971902
Macaca_nemestrina	338.33333333333297
Mirza_zaza	1439.7777777777801
Pan_paniscus	312.98181818181803
Pan_troglodytes	337.86782629178202
Pongo_pygmaeus	256.25430402930402
Propithecus_coquereli	470
Saimiri_sciureus	190.001862026862
Varecia_rubra	912.66666666666697
Varecia_variegata	672
