species	trait_value
Alouatta_sara	81.209999999999994
Callithrix_jacchus	17.84
Cebuella_pygmaea	13.49
Cheirogaleus_medius	6.3099999999999996
Chlorocebus_pygerythrus	88.670000000000002
Colobus_guereza	171.33000000000001
Eulemur_fulvus	43.369999999999997
Eulemur_macaco	77.780000000000001
Lemur_catta	72.900000000000006
Leontocebus_lagonotus	14.35
Leontopithecus_chrysomelas	18.920000000000002
Macaca_arctoides	240.81999999999999
Macaca_nigra	94.859999999999999
Mandrillus_sphinx	330.51999999999998
Nomascus_concolor	293
Papio_hamadryas	392.01999999999998
Saguinus_oedipus	20.890000000000001
Saimiri_boliviensis	19.43
Sapajus_apella	49.280000000000001
Semnopithecus_vetulus	90.420000000000002
Symphalangus_syndactylus	293.72000000000003
Theropithecus_gelada	235.52000000000001
Varecia_rubra	72.219999999999999
