species	trait_value
Callithrix_jacchus	3249.33493975904
Cebuella_pygmaea	3730.5555555555602
Cheirogaleus_medius	4378.6666666666697
Daubentonia_madagascariensis	7379.6611111111097
Eulemur_albifrons	4227.3958333333303
Eulemur_collaris	3799.995861678
Eulemur_coronatus	2432.5833333333298
Eulemur_flavifrons	3793.8113636363601
Eulemur_fulvus	3160.5
Eulemur_macaco	3087.8541666666702
Eulemur_mongoz	2529.20366666667
Eulemur_rubriventer	3448.92333333333
Eulemur_rufifrons	4308.0654761904798
Eulemur_sanfordi	3455.75
Galago_moholi	1564
Gorilla_gorilla	2432.1998964803302
Hapalemur_griseus	3480.2129629629599
Lemur_catta	2826.1940972222201
Leontopithecus_chrysomelas	2079.1666666666702
Leontopithecus_rosalia	1561.7857142857099
Loris_tardigradus	1700.3333333333301
Macaca_arctoides	6012.7833333333301
Macaca_fascicularis	5067.2845588235296
Macaca_mulatta	3226.79394095425
Macaca_nemestrina	3404.24571050642
Macaca_nigra	2375.3333333333298
Microcebus_murinus	3496
Mirza_zaza	3760.6966666666699
Nomascus_leucogenys	2598
Nycticebus_pygmaeus	7308
Pan_paniscus	4134.2060606060604
Pan_troglodytes	4390.15195099216
Pongo_pygmaeus	5405.3301146384501
Propithecus_coquereli	2500.96953781513
Propithecus_tattersalli	1279.6666666666699
Saguinus_oedipus	3215.42440828402
Saimiri_sciureus	2160.1393939393902
Varecia_rubra	2720.49351851852
Varecia_variegata	3948.7277777777799
