species	trait_value
Alouatta_seniculus	41.399999999999999
Aotus_trivirgatus	56
Ateles_geoffroyi	90.400000000000006
Avahi_laniger	89.200000000000003
Avahi_occidentalis	70.099999999999994
Callimico_goeldii	27
Callithrix_jacchus	22.800000000000001
Carlito_syrichta	79.200000000000003
Cebuella_pygmaea	12.300000000000001
Cebus_albifrons	39.899999999999999
Cercopithecus_ascanius	99.5
Cercopithecus_mitis	117
Cheirogaleus_major	158
Cheirogaleus_medius	102
Daubentonia_madagascariensis	685
Erythrocebus_patas	51.799999999999997
Eulemur_fulvus	207
Galago_senegalensis	79.200000000000003
Galagoides_demidovii	83.099999999999994
Gorilla_gorilla	316
Hylobates_lar	43.899999999999999
Indri_indri	168
Lagothrix_lagotricha	73.400000000000006
Lepilemur_ruficaudatus	113
Lophocebus_albigena	121
Loris_tardigradus	85.799999999999997
Macaca_mulatta	84.299999999999997
Microcebus_murinus	43
Miopithecus_talapoin	27.800000000000001
Nasalis_larvatus	30.300000000000001
Nycticebus_coucang	159
Otolemur_crassicaudatus	166
Pan_troglodytes	257
Papio_anubis	287
Perodicticus_potto	310
Piliocolobus_badius	51.299999999999997
Pithecia_monachus	34.799999999999997
Propithecus_verreauxi	147
Pygathrix_nemaeus	10.699999999999999
Saguinus_midas	17.300000000000001
Saguinus_oedipus	19.100000000000001
Saimiri_sciureus	26.800000000000001
Varecia_variegata	369
