species	trait_value
Cheirogaleus_medius	21
Daubentonia_madagascariensis	136
Eulemur_collaris	99.099999999999994
Eulemur_coronatus	69
Eulemur_flavifrons	102.5
Eulemur_fulvus	92
Eulemur_macaco	83
Eulemur_mongoz	77.5
Eulemur_rubriventer	89
Eulemur_rufus	94
Eulemur_sanfordi	93.599999999999994
Galago_moholi	19
Hapalemur_griseus	57
Lemur_catta	101
Loris_tardigradus	14.5
Microcebus_murinus	10
Mirza_coquereli	19.899999999999999
Nycticebus_coucang	65
Nycticebus_pygmaeus	32.25
Otolemur_garnettii	56.5
Perodicticus_potto	43.600000000000001
Propithecus_coquereli	131.5
Varecia_rubra	155.5
Varecia_variegata	137
