species	trait_value
Cheirogaleus_medius	337
Daubentonia_madagascariensis	2852.1428569999998
Eulemur_albifrons	2030
Eulemur_collaris	2747.666667
Eulemur_coronatus	1796.5
Eulemur_flavifrons	2596.666667
Eulemur_fulvus	2629
Eulemur_macaco	2873.5
Eulemur_mongoz	1741.25
Eulemur_rubriventer	2220
Eulemur_rufus	2515
Eulemur_sanfordi	2098.833333
Galago_moholi	158
Hapalemur_griseus	1237.5
Lemur_catta	2653
Loris_tardigradus	181.33333329999999
Microcebus_murinus	95
Mirza_coquereli	340
Nycticebus_coucang	1355.333333
Nycticebus_pygmaeus	683.51851850000003
Otolemur_garnettii	948.8666667
Perodicticus_potto	787
Propithecus_coquereli	4704.2901229999998
Varecia_rubra	4050
Varecia_variegata	3580.5
