species	trait_value
Cheirogaleus_medius	332.01999999999998
Daubentonia_madagascariensis	2956.666667
Eulemur_albifrons	2606
Eulemur_collaris	2735
Eulemur_coronatus	1993
Eulemur_flavifrons	2638.5632179999998
Eulemur_fulvus	3066.25
Eulemur_macaco	2691.2857140000001
Eulemur_mongoz	1818.1923079999999
Eulemur_rubriventer	2278.636364
Eulemur_rufus	2897
Eulemur_sanfordi	2435.5
Galago_moholi	201.18209880000001
Hapalemur_griseus	1299.090909
Lemur_catta	3028
Loris_tardigradus	219.64942529999999
Microcebus_murinus	116.375
Mirza_coquereli	345.5
Nycticebus_coucang	1506.0666670000001
Nycticebus_pygmaeus	630.63636359999998
Otolemur_garnettii	1304.125
Perodicticus_potto	1139.5
Propithecus_coquereli	4751.3076920000003
Varecia_rubra	4220
Varecia_variegata	4129.2916670000004
