species	trait_value
Cheirogaleus_medius	21
Daubentonia_madagascariensis	136
Eulemur_collaris	99.099999999999994
Eulemur_coronatus	69
Eulemur_flavifrons	90.599999999999994
Eulemur_fulvus	85
Eulemur_macaco	83
Eulemur_mongoz	77.5
Eulemur_rubriventer	84
Eulemur_rufus	94
Eulemur_sanfordi	93.599999999999994
Galago_moholi	19
Hapalemur_griseus	50
Lemur_catta	101
Loris_tardigradus	14.5
Microcebus_murinus	9
Mirza_coquereli	16.5
Nycticebus_coucang	62.5
Nycticebus_pygmaeus	30.5
Otolemur_garnettii	56.5
Perodicticus_potto	43.600000000000001
Propithecus_coquereli	124
Varecia_rubra	155.5
Varecia_variegata	129.5
