species	trait_value
Cheirogaleus_medius	334
Daubentonia_madagascariensis	2880.1219510000001
Eulemur_albifrons	2528.5
Eulemur_collaris	2669
Eulemur_coronatus	1783.333333
Eulemur_flavifrons	2463.333333
Eulemur_fulvus	2551
Eulemur_macaco	2796
Eulemur_mongoz	1700.5
Eulemur_rubriventer	2214.5
Eulemur_rufus	2452
Eulemur_sanfordi	2195
Galago_moholi	165.66666670000001
Hapalemur_griseus	1156.333333
Lemur_catta	2611
Loris_tardigradus	219.83333329999999
Microcebus_murinus	88
Mirza_coquereli	326.64999999999998
Nycticebus_coucang	1500.5
Nycticebus_pygmaeus	619.27272730000004
Otolemur_garnettii	1087.9666669999999
Perodicticus_potto	1039
Propithecus_coquereli	4645
Varecia_rubra	4190.5
Varecia_variegata	3726.25
