species	trait_value
Cheirogaleus_medius	237.60457450000001
Daubentonia_madagascariensis	2690.066628
Eulemur_albifrons	2231.5885109999999
Eulemur_collaris	2333.6057190000001
Eulemur_coronatus	1644.83527
Eulemur_flavifrons	2433.8918389999999
Eulemur_fulvus	2481.0034999999998
Eulemur_macaco	2466.6568790000001
Eulemur_mongoz	1549.38599
Eulemur_rubriventer	2190.2924210000001
Eulemur_rufus	2286.435242
Eulemur_sanfordi	2111.3369779999998
Galago_moholi	169.24152470000001
Hapalemur_griseus	1015.549929
Lemur_catta	2448.9060650000001
Loris_tardigradus	184.9104366
Microcebus_murinus	82.613657369999999
Mirza_coquereli	302.42029179999997
Nycticebus_coucang	1159.882188
Nycticebus_pygmaeus	499.52837879999998
Otolemur_garnettii	1059.211256
Perodicticus_potto	917.81775649999997
Propithecus_coquereli	4028.746725
Varecia_rubra	3633.4866200000001
Varecia_variegata	3509.2327829999999
