species	trait_value
Cheirogaleus_medius	237.21036280000001
Daubentonia_madagascariensis	2588.4459940000002
Eulemur_albifrons	2170.291667
Eulemur_collaris	2245.3406660000001
Eulemur_coronatus	1550.73188
Eulemur_flavifrons	2227.9296239999999
Eulemur_fulvus	2222.886364
Eulemur_macaco	2366.9339289999998
Eulemur_mongoz	1494.0720659999999
Eulemur_rubriventer	2004.2668650000001
Eulemur_rufus	2063.7287409999999
Eulemur_sanfordi	1941.25119
Galago_moholi	143.37638889999999
Hapalemur_griseus	1009.712988
Lemur_catta	2099.14084
Loris_tardigradus	173.70960650000001
Microcebus_murinus	67.883186940000002
Mirza_coquereli	288.52832380000001
Nycticebus_coucang	1128.4559979999999
Nycticebus_pygmaeus	506.52635659999999
Otolemur_garnettii	867.15688169999999
Perodicticus_potto	854.0880952
Propithecus_coquereli	3925.4937620000001
Varecia_rubra	3448.0200150000001
Varecia_variegata	3166.7456929999998
