species	trait_value
Cheirogaleus_medius	244.72912719999999
Daubentonia_madagascariensis	2724.7132780000002
Eulemur_albifrons	2461.3265029999998
Eulemur_collaris	2354.1340110000001
Eulemur_coronatus	1592.2909970000001
Eulemur_flavifrons	2535.937351
Eulemur_fulvus	2626.380682
Eulemur_macaco	2541.439218
Eulemur_mongoz	1579.542115
Eulemur_rubriventer	2338.0015549999998
Eulemur_rufus	2309.8110109999998
Eulemur_sanfordi	2175.0155789999999
Galago_moholi	160.02242469999999
Hapalemur_griseus	988.15397659999996
Lemur_catta	2348.6630829999999
Loris_tardigradus	184.16706350000001
Microcebus_murinus	85.155779879999997
Mirza_coquereli	306.40669250000002
Nycticebus_coucang	1177.306482
Nycticebus_pygmaeus	481.72597239999999
Otolemur_garnettii	976.47649230000002
Perodicticus_potto	875.94484739999996
Propithecus_coquereli	4185.1839479999999
Varecia_rubra	3643.1285579999999
Varecia_variegata	3555.2323059999999
