species	trait_value
Cheirogaleus_medius	238.77305759999999
Daubentonia_madagascariensis	2651.0068080000001
Eulemur_albifrons	2030
Eulemur_collaris	2223.2785709999998
Eulemur_coronatus	1540.46118
Eulemur_flavifrons	2248.4811119999999
Eulemur_fulvus	2275.5625
Eulemur_macaco	2495.0590910000001
Eulemur_mongoz	1507.0718280000001
Eulemur_rubriventer	2050.3630950000002
Eulemur_rufus	2064.5503659999999
Eulemur_sanfordi	1934.2619050000001
Galago_moholi	138.77619050000001
Hapalemur_griseus	1011.790266
Lemur_catta	2083.1008870000001
Loris_tardigradus	163.83972220000001
Microcebus_murinus	68.776825400000007
Mirza_coquereli	293.35285709999999
Nycticebus_coucang	1105.2116559999999
Nycticebus_pygmaeus	513.26702190000003
Otolemur_garnettii	795.13179490000005
Perodicticus_potto	787
Propithecus_coquereli	4038.0603660000002
Varecia_rubra	3427.5575690000001
Varecia_variegata	3147.8186270000001
