species	trait_value
Cheirogaleus_medius	232.72474399999999
Daubentonia_madagascariensis	2646.758315
Eulemur_albifrons	2155.00918
Eulemur_collaris	2321.288744
Eulemur_coronatus	1690.214414
Eulemur_flavifrons	2362.082034
Eulemur_fulvus	2366.7785709999998
Eulemur_macaco	2387.7199649999998
Eulemur_mongoz	1522.8851529999999
Eulemur_rubriventer	2058.995414
Eulemur_rufus	2264.0334640000001
Eulemur_sanfordi	2039.698551
Galago_moholi	179.38253470000001
Hapalemur_griseus	1046.859588
Lemur_catta	2540.5567919999999
Loris_tardigradus	185.7069079
Microcebus_murinus	80.504236570000003
Mirza_coquereli	298.30931600000002
Nycticebus_coucang	1144.3939270000001
Nycticebus_pygmaeus	518.94918570000004
Otolemur_garnettii	1137.0792690000001
Perodicticus_potto	943.98832470000002
Propithecus_coquereli	3892.4949499999998
Varecia_rubra	3621.1663659999999
Varecia_variegata	3473.6202490000001
