species	trait_value
Cheirogaleus_medius	235.3128049
Daubentonia_madagascariensis	2530.6975499999999
Eulemur_albifrons	2193.6736110000002
Eulemur_collaris	2262.5000730000002
Eulemur_coronatus	1557.9817860000001
Eulemur_flavifrons	2210.6663739999999
Eulemur_fulvus	2192.7857140000001
Eulemur_macaco	2284.0294119999999
Eulemur_mongoz	1482.000859
Eulemur_rubriventer	1958.1706349999999
Eulemur_rufus	2063.0166669999999
Eulemur_sanfordi	1948.2404759999999
Galago_moholi	149.81666670000001
Hapalemur_griseus	1005.7892419999999
Lemur_catta	2119.8077039999998
Loris_tardigradus	180.75952380000001
Microcebus_murinus	67.202319540000005
Mirza_coquereli	284.737619
Nycticebus_coucang	1151.7003400000001
Nycticebus_pygmaeus	501.89214920000001
Otolemur_garnettii	919.17499999999995
Perodicticus_potto	867.50571430000002
Propithecus_coquereli	3799.684029
Varecia_rubra	3471.0402680000002
Varecia_variegata	3175.6834739999999
