species	trait_value
Cheirogaleus_medius	191.8604651
Daubentonia_madagascariensis	2329.287879
Eulemur_albifrons	2335.1530050000001
Eulemur_collaris	1930.9666669999999
Eulemur_coronatus	1308.3
Eulemur_flavifrons	2205
Eulemur_fulvus	2261
Eulemur_macaco	2120
Eulemur_mongoz	1377.6538459999999
Eulemur_rubriventer	2225.4045980000001
Eulemur_rufus	1620
Eulemur_sanfordi	1963.4000000000001
Galago_moholi	140.828125
Hapalemur_griseus	794.08354220000001
Lemur_catta	1888.7638890000001
Loris_tardigradus	159.57185190000001
Microcebus_murinus	57
Mirza_coquereli	261.72916670000001
Nycticebus_coucang	846.85833330000003
Nycticebus_pygmaeus	357.20224359999997
Otolemur_garnettii	729
Perodicticus_potto	761.90427350000004
Propithecus_coquereli	3003.166667
Varecia_rubra	2710.5
Varecia_variegata	2935.333333
