species	trait_value
Cheirogaleus_medius	144.06666670000001
Daubentonia_madagascariensis	2265
Eulemur_albifrons	1840.4294870000001
Eulemur_collaris	1697.2222220000001
Eulemur_coronatus	1220.190476
Eulemur_flavifrons	2122
Eulemur_fulvus	1670
Eulemur_macaco	2084.880952
Eulemur_mongoz	1301.034091
Eulemur_rubriventer	1770
Eulemur_rufus	1745.4545450000001
Eulemur_sanfordi	1840
Galago_moholi	149.69696970000001
Hapalemur_griseus	910.98850570000002
Lemur_catta	2092.681818
Loris_tardigradus	152
Microcebus_murinus	56.5
Mirza_coquereli	250.6794118
Nycticebus_coucang	807.66666669999995
Nycticebus_pygmaeus	405.55817610000003
Otolemur_garnettii	908.66666669999995
Perodicticus_potto	768.73611110000002
Propithecus_coquereli	3233.0277780000001
Varecia_rubra	3128.5
Varecia_variegata	2903.25
