species	trait_value
Cheirogaleus_medius	8
Daubentonia_madagascariensis	97
Eulemur_collaris	28
Eulemur_coronatus	51
Eulemur_flavifrons	55.5
Eulemur_fulvus	36
Eulemur_macaco	60
Eulemur_mongoz	40.299999999999997
Eulemur_rubriventer	70.099999999999994
Eulemur_rufus	26
Eulemur_sanfordi	93.599999999999994
Galago_moholi	10.4
Hapalemur_griseus	36
Lemur_catta	34.5
Loris_tardigradus	10
Microcebus_murinus	5.5
Mirza_coquereli	13.699999999999999
Nycticebus_coucang	40
Nycticebus_pygmaeus	16.5
Otolemur_garnettii	41.399999999999999
Perodicticus_potto	21.199999999999999
Propithecus_coquereli	73
Varecia_rubra	82
Varecia_variegata	68
