species	trait_value
Allenopithecus_nigroviridis	6130
Allochrocebus_lhoesti	5970
Alouatta_caraya	6420
Alouatta_guariba	6730
Alouatta_palliata	7150
Alouatta_pigra	11400
Alouatta_seniculus	6690
Aotus_trivirgatus	813
Ateles_geoffroyi	7450
Ateles_paniscus	9110
Avahi_laniger	1030
Brachyteles_arachnoides	9610
Cacajao_calvus	3450
Callithrix_jacchus	317
Callithrix_penicillata	344
Cebuella_pygmaea	110
Cebus_capucinus	3680
Cebus_olivaceus	3290
Cercocebus_torquatus	11000
Cercopithecus_ascanius	3700
Cercopithecus_cephus	4290
Cercopithecus_diana	5200
Cercopithecus_erythrogaster	4100
Cercopithecus_mitis	7930
Cercopithecus_mona	4768
Cercopithecus_neglectus	7350
Cercopithecus_nictitans	6670
Cercopithecus_petaurista	4400
Cercopithecus_pogonias	4260
Cercopithecus_wolfi	3910
Cheirogaleus_medius	283
Cheracebus_torquatus	1280
Chiropotes_satanas	2900
Chlorocebus_aethiops	4260
Chlorocebus_pygerythrus	4290
Colobus_angolensis	9680
Colobus_guereza	13500
Colobus_polykomos	9900
Colobus_satanas	10420
Erythrocebus_patas	12400
Eulemur_coronatus	1690
Eulemur_fulvus	2180
Eulemur_macaco	2370
Eulemur_mongoz	1630
Eulemur_rubriventer	1980
Gorilla_beringei	162500
Gorilla_gorilla	170400
Hapalemur_griseus	987
Hylobates_klossii	5670
Hylobates_lar	5900
Hylobates_pileatus	5500
Lagothrix_lagotricha	7280
Lemur_catta	2210
Leontocebus_fuscicolis	343
Lophocebus_albigena	8250
Macaca_fascicularis	5360
Macaca_fuscata	11000
Macaca_mulatta	11000
Macaca_nemestrina	11200
Macaca_nigra	9890
Macaca_silenus	8900
Macaca_sinica	5680
Macaca_sylvanus	16000
Macaca_tonkeana	14900
Mandrillus_leucophaeus	17500
Mandrillus_sphinx	31600
Miopithecus_talapoin	1380
Nasalis_larvatus	20400
Nomascus_concolor	7790
Pan_paniscus	45000
Pan_troglodytes	59700
Papio_anubis	25100
Papio_cynocephalus	21800
Papio_hamadryas	21000
Papio_ursinus	29800
Piliocolobus_badius	8360
Pithecia_pithecia	1940
Plecturocebus_moloch	1020
Pongo_abelii	77900
Pongo_pygmaeus	78500
Presbytis_comata	6680
Presbytis_melalophos	6590
Procolobus_verus	4700
Propithecus_verreauxi	3250
Pygathrix_nemaeus	11000
Rhinopithecus_roxellana	17900
Saguinus_midas	515
Saguinus_oedipus	418
Saimiri_boliviensis	911
Saimiri_oerstedii	897
Saimiri_sciureus	779
Sapajus_apella	3650
Semnopithecus_entellus	13000
Semnopithecus_vetulus	8170
Symphalangus_syndactylus	11900
Theropithecus_gelada	19000
Trachypithecus_cristatus	6610
Trachypithecus_francoisi	7700
Trachypithecus_obscurus	7900
Trachypithecus_pileatus	12000
