species	trait_value
Allenopithecus_nigroviridis	5000
Alouatta_caraya	6420
Alouatta_guariba	6700
Alouatta_palliata	5800
Alouatta_pigra	7600
Alouatta_seniculus	6700
Aotus_trivirgatus	1020
Ateles_geoffroyi	7940
Ateles_paniscus	9110
Avahi_laniger	1300
Cacajao_calvus	3450
Callithrix_jacchus	320
Callithrix_penicillata	300
Cebuella_pygmaea	130
Cercopithecus_ascanius	5360
Cercopithecus_wolfi	5380
Cheirogaleus_medius	220
Chlorocebus_aethiops	4950
Chlorocebus_pygerythrus	5290
Colobus_guereza	10050
Colobus_polykomos	10250
Erythrocebus_patas	13000
Eulemur_coronatus	1850
Eulemur_fulvus	2130
Eulemur_macaco	2500
Eulemur_mongoz	1660
Eulemur_rubriventer	2512
Gorilla_beringei	164660
Gorilla_gorilla	169000
Hapalemur_griseus	1094
Hylobates_lar	5500
Lagothrix_lagotricha	5220
Lemur_catta	2700
Leontocebus_fuscicolis	400
Macaca_fascicularis	4420
Macaca_fuscata	15400
Macaca_mulatta	9200
Macaca_nemestrina	9980
Macaca_nigra	10600
Macaca_silenus	5900
Mandrillus_leucophaeus	28500
Mandrillus_sphinx	26900
Miopithecus_talapoin	1250
Nasalis_larvatus	2155
Pan_paniscus	39100
Pan_troglodytes	44670
Papio_anubis	26400
Papio_cynocephalus	24320
Papio_hamadryas	20170
Papio_ursinus	26075
Pithecia_pithecia	1600
Pongo_pygmaeus	74640
Propithecus_verreauxi	578
Pygathrix_nemaeus	18560
Saguinus_midas	570
Saguinus_oedipus	520
Saimiri_boliviensis	1020
Saimiri_sciureus	780
Sapajus_apella	4800
Semnopithecus_entellus	17000
Symphalangus_syndactylus	12270
Theropithecus_gelada	20400
Trachypithecus_cristatus	7000
Trachypithecus_francoisi	7450
Trachypithecus_obscurus	7390
