species	trait_value
Allenopithecus_nigroviridis	18.41
Allochrocebus_lhoesti	19.93
Alouatta_caraya	14.74
Alouatta_guariba	13.98
Alouatta_palliata	14.58
Alouatta_pigra	11.31
Alouatta_seniculus	13.539999999999999
Aotus_trivirgatus	5.3399999999999999
Ateles_geoffroyi	11.51
Ateles_paniscus	12.109999999999999
Avahi_laniger	3.5800000000000001
Brachyteles_arachnoides	9.4700000000000006
Cacajao_calvus	13.58
Callithrix_jacchus	5.0800000000000001
Callithrix_penicillata	5.4000000000000004
Cebuella_pygmaea	3.0800000000000001
Cebus_capucinus	14.25
Cebus_olivaceus	14.35
Cercocebus_torquatus	23.530000000000001
Cercopithecus_ascanius	16.129999999999999
Cercopithecus_cephus	16.32
Cercopithecus_diana	19.940000000000001
Cercopithecus_erythrogaster	16.670000000000002
Cercopithecus_mitis	19.469999999999999
Cercopithecus_mona	17.760000000000002
Cercopithecus_neglectus	20.68
Cercopithecus_nictitans	18.100000000000001
Cercopithecus_petaurista	16.16
Cercopithecus_pogonias	16.219999999999999
Cercopithecus_wolfi	18.059999999999999
Cheirogaleus_medius	3.75
Cheracebus_torquatus	4.3399999999999999
Chiropotes_satanas	11.09
Chlorocebus_aethiops	17.66
Chlorocebus_pygerythrus	20.399999999999999
Colobus_angolensis	17.66
Colobus_guereza	20.309999999999999
Colobus_polykomos	19.129999999999999
Colobus_satanas	16.079999999999998
Erythrocebus_patas	26.5
Eulemur_coronatus	9.4299999999999997
Eulemur_fulvus	11.869999999999999
Eulemur_macaco	10.58
Eulemur_mongoz	9.6300000000000008
Eulemur_rubriventer	10.49
Gorilla_beringei	30.100000000000001
Gorilla_gorilla	30.260000000000002
Hapalemur_griseus	5.9400000000000004
Hylobates_klossii	16.059999999999999
Hylobates_lar	18.32
Hylobates_muelleri	19.600000000000001
Hylobates_pileatus	16.75
Lagothrix_lagotricha	14.23
Lemur_catta	10.859999999999999
Leontocebus_fuscicolis	5.6600000000000001
Lophocebus_albigena	19.140000000000001
Macaca_fascicularis	24.09
Macaca_fuscata	19.559999999999999
Macaca_mulatta	16.969999999999999
Macaca_nemestrina	28.890000000000001
Macaca_nigra	29.73
Macaca_silenus	24.66
Macaca_sinica	19.690000000000001
Macaca_sylvanus	22.809999999999999
Macaca_tonkeana	24.66
Mandrillus_leucophaeus	47.969999999999999
Mandrillus_sphinx	49.579999999999998
Miopithecus_talapoin	11.35
Nasalis_larvatus	22.960000000000001
Nomascus_concolor	19.109999999999999
Pan_paniscus	15.56
Pan_troglodytes	21.719999999999999
Papio_anubis	35.43
Papio_cynocephalus	27.390000000000001
Papio_hamadryas	30.640000000000001
Papio_ursinus	46.530000000000001
Piliocolobus_badius	13.31
Pithecia_pithecia	8.9000000000000004
Plecturocebus_moloch	4.3600000000000003
Pongo_abelii	28
Pongo_pygmaeus	27
Presbytis_comata	13.92
Presbytis_melalophos	13.949999999999999
Procolobus_verus	14.9
Propithecus_verreauxi	8.4100000000000001
Pygathrix_nemaeus	16.059999999999999
Rhinopithecus_avunculus	17.5
Rhinopithecus_roxellana	20.059999999999999
Saguinus_midas	5.3700000000000001
Saguinus_oedipus	5.6500000000000004
Saimiri_boliviensis	6.6500000000000004
Saimiri_oerstedii	7.3799999999999999
Saimiri_sciureus	7.0999999999999996
Sapajus_apella	14.1
Semnopithecus_entellus	18.440000000000001
Semnopithecus_vetulus	16.960000000000001
Symphalangus_syndactylus	21.449999999999999
Theropithecus_gelada	39.619999999999997
Trachypithecus_cristatus	18.57
Trachypithecus_francoisi	17.91
Trachypithecus_obscurus	15.44
Trachypithecus_pileatus	19.850000000000001
