species	trait_value
Alouatta_caraya	0.19900000000000001
Alouatta_palliata	0.161
Alouatta_seniculus	0.17899999999999999
Aotus_trivirgatus	0.23499999999999999
Arctocebus_calabarensis	0.65500000000000003
Ateles_geoffroyi	0.93000000000000005
Ateles_paniscus	0.82999999999999996
Callimico_goeldii	0.43099999999999999
Callithrix_jacchus	0.755
Cebuella_pygmaea	0.67500000000000004
Cebus_albifrons	0.17799999999999999
Cebus_capucinus	0.115
Tarsius_bancanus	0.34300000000000003
Cercocebus_atys	0.17299999999999999
Cercopithecus_ascanius	0.080000000000000002
Cercopithecus_cephus	0.16900000000000001
Cercopithecus_mitis	0.123
Cercopithecus_neglectus	0.13700000000000001
Cheirogaleus_major	0.754
Cheirogaleus_medius	0.5
Chlorocebus_aethiops	0.16400000000000001
Colobus_guereza	0.14499999999999999
Colobus_polykomos	0.14699999999999999
Daubentonia_madagascariensis	0.127
Erythrocebus_patas	0.23100000000000001
Eulemur_fulvus	0.222
Eulemur_macaco	0.312
Eulemur_mongoz	0.318
Galago_moholi	0.71499999999999997
Galago_senegalensis	0.56499999999999995
Galagoides_demidovii	0.96799999999999997
Gorilla_gorilla	0.053999999999999999
Hapalemur_griseus	0.33200000000000002
Hylobates_lar	0.070999999999999994
Lagothrix_lagotricha	0.72999999999999998
Lemur_catta	0.27500000000000002
Leontocebus_fuscicolis	0.59199999999999997
Leontopithecus_rosalia	0.376
Lepilemur_mustelinus	0.33400000000000002
Lophocebus_albigena	0.096000000000000002
Loris_tardigradus	0.67400000000000004
Macaca_arctoides	0.14999999999999999
Macaca_fascicularis	0.14799999999999999
Macaca_fuscata	0.115
Macaca_maura	0.11799999999999999
Macaca_mulatta	0.161
Macaca_nemestrina	0.193
Macaca_nigra	0.155
Macaca_radiata	0.19700000000000001
Macaca_silenus	0.17000000000000001
Macaca_sylvanus	0.14399999999999999
Mandrillus_leucophaeus	0.161
Mandrillus_sphinx	0.17100000000000001
Mico_argentatus	0.70399999999999996
Microcebus_murinus	0.502
Miopithecus_talapoin	0.21299999999999999
Mirza_coquereli	0.44700000000000001
Nasalis_larvatus	0.16600000000000001
Nycticebus_coucang	0.36399999999999999
Otolemur_crassicaudatus	0.38300000000000001
Otolemur_garnettii	0.497
Pan_paniscus	0.047
Pan_troglodytes	0.049000000000000002
Papio_anubis	0.111
Papio_cynocephalus	0.126
Papio_hamadryas	0.123
Papio_ursinus	0.13300000000000001
Perodicticus_potto	0.44
Plecturocebus_cupreus	0.22700000000000001
Pongo_abelii	0.025000000000000001
Pongo_pygmaeus	0.031
Propithecus_diadema	0.13100000000000001
Propithecus_verreauxi	0.14799999999999999
Pygathrix_nemaeus	0.188
Saguinus_geoffroyi	0.59899999999999998
Saguinus_midas	0.57199999999999995
Saguinus_oedipus	0.50800000000000001
Saimiri_sciureus	0.23000000000000001
Sapajus_apella	0.13500000000000001
Semnopithecus_entellus	0.214
Semnopithecus_vetulus	0.14699999999999999
Symphalangus_syndactylus	0.085000000000000006
Tarsius_tarsier	0.33500000000000002
Theropithecus_gelada	0.14099999999999999
Trachypithecus_obscurus	0.14699999999999999
Varecia_variegata	0.42799999999999999
