species	trait_value
Callithrix_jacchus	22.342968750000001
Cebuella_pygmaea	21.3055555555556
Cheirogaleus_medius	16.600000000000001
Daubentonia_madagascariensis	22.363802083333301
Eulemur_albifrons	18.0133333333333
Eulemur_collaris	18.466201814059001
Eulemur_coronatus	18.0595238095238
Eulemur_flavifrons	17.619782608695701
Eulemur_fulvus	16.266666666666701
Eulemur_macaco	18.595888888888901
Eulemur_mongoz	16.0566
Eulemur_rubriventer	17.726500000000001
Eulemur_rufifrons	17.464285714285701
Eulemur_sanfordi	18.8475
Galago_moholi	17
Gorilla_gorilla	27.3090269151139
Hapalemur_griseus	12.064814814814801
Lemur_catta	20.495312500000001
Leontopithecus_chrysomelas	25.2916666666667
Leontopithecus_rosalia	24.882142857142899
Loris_tardigradus	24.866666666666699
Macaca_arctoides	23.6645161290323
Macaca_fascicularis	25.0661764705882
Macaca_mulatta	23.639148975270601
Macaca_nemestrina	19.865349908217301
Macaca_nigra	21.6666666666667
Microcebus_murinus	18.300000000000001
Mirza_zaza	19.5066666666667
Nomascus_leucogenys	24
Nycticebus_pygmaeus	25.716666666666701
Pan_paniscus	23.344047619047601
Pan_troglodytes	26.672782074438899
Pongo_pygmaeus	24.812402998236301
Propithecus_coquereli	16.758193277310902
Propithecus_tattersalli	17.966666666666701
Saguinus_oedipus	24.732461240310101
Saimiri_sciureus	19.064521376059801
Varecia_rubra	17.290277777777799
Varecia_variegata	17.1675
