species	trait_value
Callithrix_jacchus	32.043750000000003
Cebuella_pygmaea	33.8333333333333
Cheirogaleus_medius	34.674999999999997
Daubentonia_madagascariensis	34.258593750000003
Eulemur_albifrons	32.820833333333297
Eulemur_collaris	31.8194444444444
Eulemur_coronatus	31.0571428571429
Eulemur_flavifrons	31.5423188405797
Eulemur_fulvus	33.875
Eulemur_macaco	32.436666666666703
Eulemur_mongoz	31.589733333333299
Eulemur_rubriventer	32.908333333333303
Eulemur_rufifrons	32.3488095238095
Eulemur_sanfordi	32.237499999999997
Galago_moholi	32.725000000000001
Gorilla_gorilla	31.821604554865399
Hapalemur_griseus	31.837962962963001
Lemur_catta	30.174826388888899
Leontopithecus_chrysomelas	36.7222222222222
Leontopithecus_rosalia	33.839285714285701
Loris_tardigradus	33.6666666666667
Macaca_arctoides	32.183870967741903
Macaca_fascicularis	33.070588235294103
Macaca_mulatta	32.470869935734001
Macaca_nemestrina	29.522314882302101
Macaca_nigra	29
Microcebus_murinus	33.799999999999997
Mirza_zaza	34.373333333333299
Nomascus_leucogenys	32
Nycticebus_pygmaeus	34.616666666666703
Pan_paniscus	32.209567099567103
Pan_troglodytes	32.6605731840461
Pongo_pygmaeus	31.039920634920598
Propithecus_coquereli	33.793253968254
Propithecus_tattersalli	32.600000000000001
Saguinus_oedipus	32.219907945736402
Saimiri_sciureus	30.890295121545101
Varecia_rubra	31.954537037036999
Varecia_variegata	32.237333333333297
