species	trait_value
Alouatta_seniculus	1593.25
Aotus_trivirgatus	675.29999999999995
Ateles_geoffroyi	1833.6700000000001
Avahi_laniger	553.35000000000002
Avahi_occidentalis	508.45999999999998
Callimico_goeldii	460.10000000000002
Callithrix_jacchus	318.24000000000001
Carlito_syrichta	206.84999999999999
Cebuella_pygmaea	185
Cebus_albifrons	1738.26
Cercopithecus_ascanius	1802.0899999999999
Cercopithecus_mitis	1998.9000000000001
Cheirogaleus_major	381.62
Cheirogaleus_medius	202.38
Daubentonia_madagascariensis	1517.0999999999999
Erythrocebus_patas	2615.6700000000001
Eulemur_fulvus	909.38999999999999
Galago_senegalensis	254.30000000000001
Galagoides_demidovii	169.13
Gorilla_gorilla	8393.9099999999999
Hylobates_lar	2249.1599999999999
Indri_indri	1342.01
Lagothrix_lagotricha	2109.54
Lepilemur_ruficaudatus	449.27999999999997
Lophocebus_albigena	2670.5900000000001
Loris_tardigradus	287.23000000000002
Macaca_mulatta	2329.1399999999999
Microcebus_murinus	99.030000000000001
Miopithecus_talapoin	1034.79
Nasalis_larvatus	2945.1799999999998
Nycticebus_coucang	528.13999999999999
Otolemur_crassicaudatus	539.87
Pan_paniscus	4152.0200000000004
Pan_troglodytes	6027.3900000000003
Papio_anubis	5171.1700000000001
Perodicticus_potto	679.74000000000001
Piliocolobus_badius	2007.1099999999999
Pithecia_monachus	1008.88
Plecturocebus_moloch	786.82000000000005
Pongo_pygmaeus	5303.2299999999996
Propithecus_verreauxi	1222.6300000000001
Pygathrix_nemaeus	2206.1100000000001
Saguinus_midas	428.47000000000003
Saguinus_oedipus	413.31
Saimiri_sciureus	721.52999999999997
Varecia_variegata	1420
