species	trait_value
Callithrix_jacchus	176.549397590361
Cebuella_pygmaea	393.11111111111097
Cheirogaleus_medius	87
Daubentonia_madagascariensis	477.35000000000002
Eulemur_albifrons	231.291666666667
Eulemur_collaris	250.769274376417
Eulemur_coronatus	132.03571428571399
Eulemur_flavifrons	177.05362318840599
Eulemur_fulvus	208.583333333333
Eulemur_macaco	227.801041666667
Eulemur_mongoz	188.149333333333
Eulemur_rubriventer	157.50833333333301
Eulemur_rufifrons	120.814102564103
Eulemur_sanfordi	274.59166666666698
Galago_moholi	82
Gorilla_gorilla	389.84658385093201
Hapalemur_griseus	256.05092592592598
Lemur_catta	232.653819444444
Leontopithecus_chrysomelas	265.527777777778
Leontopithecus_rosalia	422.892857142857
Loris_tardigradus	124
Macaca_arctoides	268.44999999999999
Macaca_fascicularis	377.72794117647101
Macaca_mulatta	270.704268706677
Macaca_nemestrina	377.58333333333297
Macaca_nigra	502
Microcebus_murinus	304
Mirza_zaza	223.43703703703699
Nomascus_leucogenys	238
Nycticebus_pygmaeus	421.5
Pan_paniscus	294.94242424242401
Pan_troglodytes	291.212074992326
Pongo_pygmaeus	335.26587301587301
Propithecus_coquereli	299.446078431373
Propithecus_tattersalli	453
Saguinus_oedipus	606.16468253968299
Saimiri_sciureus	227.57280701754399
Varecia_rubra	271.36574074074099
Varecia_variegata	284.472222222222
