species	trait_value
Alouatta_belzebul	18.75
Alouatta_caraya	17.600000000000001
Alouatta_guariba	14.33
Alouatta_palliata	12.32
Alouatta_pigra	9.8000000000000007
Alouatta_seniculus	6.2000000000000002
Ateles_belzebuth	23.530000000000001
Ateles_geoffroyi	32.600000000000001
Brachyteles_arachnoides	9.6999999999999993
Callimico_goeldii	17
Callithrix_jacchus	14
Cebus_capucinus	14.9
Cercocebus_agilis	31
Cercocebus_galeritus	18.399999999999999
Cercopithecus_ascanius	17
Cercopithecus_campbelli	28
Cercopithecus_diana	27.699999999999999
Cercopithecus_mitis	19.399999999999999
Cercopithecus_petaurista	25.600000000000001
Chlorocebus_aethiops	21.129999999999999
Colobus_angolensis	34.5
Colobus_guereza	21.25
Colobus_polykomos	28
Colobus_satanas	23
Colobus_vellerosus	24
Eulemur_albifrons	22
Eulemur_collaris	18.399999999999999
Eulemur_coronatus	7
Eulemur_fulvus	15.6
Eulemur_macaco	16.399999999999999
Eulemur_mongoz	9.5
Eulemur_rubriventer	21
Eulemur_rufus	16.199999999999999
Eulemur_sanfordi	11
Galago_moholi	25
Gorilla_gorilla	9.5500000000000007
Hylobates_lar	23.329999999999998
Indri_indri	3
Lagothrix_lagotricha	38.799999999999997
Leontocebus_fuscicolis	28.48
Leontopithecus_chrysopygus	33
Lophocebus_albigena	27.5
Loris_lydekkerianus	35.600000000000001
Macaca_fascicularis	36.899999999999999
Macaca_fuscata	19.899999999999999
Macaca_mulatta	11.5
Macaca_nigra	22.5
Macaca_sinica	10
Macaca_sylvanus	21.370000000000001
Nycticebus_coucang	70.599999999999994
Otolemur_garnettii	52.299999999999997
Pan_paniscus	14.5
Pan_troglodytes	12.15
Papio_anubis	24.100000000000001
Papio_cynocephalus	25.399999999999999
Papio_hamadryas	24.800000000000001
Papio_ursinus	23.5
Piliocolobus_badius	21
Piliocolobus_kirkii	29
Piliocolobus_rufomitratus	27.329999999999998
Piliocolobus_tephrosceles	35
Pongo_pygmaeus	15.4
Prolemur_simus	20.300000000000001
Propithecus_diadema	23
Saguinus_mystax	29.600000000000001
Semnopithecus_entellus	13.1
Symphalangus_syndactylus	16.800000000000001
Theropithecus_gelada	17.5
Trachypithecus_auratus	15
Varecia_variegata	13.199999999999999
