species	trait_value
Alouatta_palliata	28560
Alouatta_seniculus	31660
Aotus_trivirgatus	9453.3299999999999
Ateles_geoffroyi	59868
Avahi_laniger	4813
Avahi_occidentalis	4443
Callimico_goeldii	6476
Callithrix_jacchus	4371
Carlito_syrichta	1718.6700000000001
Cebuella_pygmaea	2535
Cebus_albifrons	46429
Cercocebus_atys	68776
Cercopithecus_ascanius	45166
Cercopithecus_mitis	49933
Cercopithecus_nictitans	47800
Cheirogaleus_major	2938
Cheirogaleus_medius	1154
Daubentonia_madagascariensis	23098.5
Erythrocebus_patas	77141
Eulemur_fulvus	12207
Eulemur_mongoz	12030
Galago_senegalensis	1854.5
Galagoides_demidovii	1568
Gorilla_beringei	251206.07000000001
Gorilla_gorilla	275016.79999999999
Hylobates_lar	61802.5
Indri_indri	20114
Lagothrix_lagotricha	65873
Lemur_catta	11080
Lepilemur_ruficaudatus	3282
Lophocebus_albigena	68733
Loris_tardigradus	3524
Macaca_mulatta	55528.669999999998
Mandrillus_sphinx	99260
Microcebus_murinus	732.86000000000001
Miopithecus_talapoin	26427
Nasalis_larvatus	62685
Nycticebus_coucang	5951.3299999999999
Otolemur_crassicaudatus	4372
Pan_paniscus	227900
Pan_troglodytes	253761.82999999999
Papio_anubis	140142
Papio_cynocephalus	100100
Papio_hamadryas	118780
Perodicticus_potto	5972
Piliocolobus_badius	50906
Pithecia_monachus	21028
Plecturocebus_moloch	8016.5
Pongo_pygmaeus	266455.56
Propithecus_verreauxi	12843.33
Pygathrix_nemaeus	48763
Saguinus_midas	5883
Saguinus_oedipus	5894
Saimiri_sciureus	15946.83
Sapajus_apella	45000
Semnopithecus_entellus	76110
Varecia_variegata	15293
