species	trait_value
Callithrix_jacchus	2658.4662650602399
Cebuella_pygmaea	3819.4444444444398
Cheirogaleus_medius	2246.3333333333298
Daubentonia_madagascariensis	4134.0388888888901
Eulemur_albifrons	2902.8958333333298
Eulemur_collaris	4210.6357142857096
Eulemur_coronatus	3380.2797619047601
Eulemur_flavifrons	3228.5826086956499
Eulemur_fulvus	1829.75
Eulemur_macaco	4178.5114583333298
Eulemur_mongoz	2681.3336666666701
Eulemur_rubriventer	3805.0983333333302
Eulemur_rufifrons	2557.4107142857101
Eulemur_sanfordi	2847.9083333333301
Galago_moholi	1093
Gorilla_gorilla	5721.7376811594204
Hapalemur_griseus	3458.3101851851902
Lemur_catta	3485.82256944444
Leontopithecus_chrysomelas	4852.7777777777801
Leontopithecus_rosalia	6384.6428571428596
Loris_tardigradus	4247
Macaca_arctoides	4442.7666666666701
Macaca_fascicularis	6079.5500000000002
Macaca_mulatta	4161.5149810228004
Macaca_nemestrina	4941.0346209912504
Macaca_nigra	8333.6666666666697
Microcebus_murinus	2812
Mirza_zaza	2776.61666666667
Nomascus_leucogenys	4984
Nycticebus_pygmaeus	4629.25
Pan_paniscus	7307.3666666666704
Pan_troglodytes	6412.1819672192696
Pongo_pygmaeus	5993.1388007054702
Propithecus_coquereli	3770.4492296918802
Propithecus_tattersalli	7048.6666666666697
Saguinus_oedipus	7094.4419132149897
Saimiri_sciureus	2235.6851851851902
Varecia_rubra	3517.50925925926
Varecia_variegata	5116.8222222222203
