species	trait_value
Allenopithecus_nigroviridis	1589.4000000000001
Allocebus_trichotis	1653.7
Allochrocebus_lhoesti	1597.5999999999999
Allochrocebus_preussi	1565.5
Allochrocebus_solatus	1502.7
Alouatta_belzebul	1549.8
Alouatta_caraya	1404.9000000000001
Alouatta_guariba	1332.2
Alouatta_palliata	1633.9000000000001
Alouatta_pigra	1580.8
Alouatta_seniculus	1574.9000000000001
Aotus_azarae	1410.8
Aotus_nancymaae	1533.0999999999999
Aotus_nigriceps	1570.5
Aotus_trivirgatus	1676.3
Aotus_vociferans	1511.5999999999999
Arctocebus_calabarensis	1530.3
Ateles_belzebuth	1513
Ateles_geoffroyi	1624.9000000000001
Ateles_paniscus	1696.9000000000001
Avahi_laniger	1600.0999999999999
Avahi_occidentalis	1557.8
Brachyteles_arachnoides	1361.2
Cacajao_calvus	1535.5999999999999
Cacajao_melanocephalus	1597.0999999999999
Callicebus_personatus	1458.5
Callimico_goeldii	1518.0999999999999
Callithrix_aurita	1379.5
Callithrix_jacchus	1488.5999999999999
Callithrix_penicillata	1442.4000000000001
Carlito_syrichta	1739.4000000000001
Cebuella_pygmaea	1526.0999999999999
Cebus_albifrons	1559.7
Cebus_capucinus	1667
Cebus_olivaceus	1703.0999999999999
Tarsius_bancanus	1734.7
Cercocebus_atys	1555.3
Cercocebus_galeritus	1747.5999999999999
Cercocebus_torquatus	1560.8
Cercopithecus_ascanius	1551.8
Cercopithecus_campbelli	1505.2
Cercopithecus_cephus	1499.8
Cercopithecus_diana	1541.7
Cercopithecus_mitis	1528.5
Cercopithecus_neglectus	1559.7
Cercopithecus_nictitans	1553.9000000000001
Cercopithecus_petaurista	1560
Cercopithecus_pogonias	1538.7
Cheirogaleus_major	1592.7
Cheirogaleus_medius	1625.8
Colobus_angolensis	1538.5
Colobus_guereza	1560.5
Colobus_polykomos	1514.5999999999999
Colobus_satanas	1500.3
Colobus_vellerosus	1620.5
Daubentonia_madagascariensis	1601.3
Erythrocebus_patas	1596.5
Eulemur_coronatus	1528
Eulemur_fulvus	1588.5
Eulemur_macaco	1717.5999999999999
Eulemur_mongoz	1603.7
Eulemur_rubriventer	1575.5
Eulemur_rufus	1547
Eulemur_sanfordi	1510
Euoticus_elegantulus	1499.5
Galago_matschiei	1568
Galago_moholi	1461.9000000000001
Galago_senegalensis	1594.8
Galagoides_demidovii	1553.2
Galagoides_zanzibaricus	1571
Gorilla_gorilla	1502.7
Hapalemur_aureus	1516.9000000000001
Hapalemur_griseus	1594.7
Hoolock_hoolock	1318.7
Hylobates_agilis	1792
Hylobates_lar	1612.3
Hylobates_moloch	1755.4000000000001
Hylobates_muelleri	1707.8
Hylobates_pileatus	1711.5
Indri_indri	1594.8
Lagothrix_lagotricha	1543.4000000000001
Lemur_catta	1636.5999999999999
Leontocebus_fuscicolis	1535.4000000000001
Leontopithecus_chrysomelas	1596.7
Leontopithecus_chrysopygus	1390.2
Leontopithecus_rosalia	1476.7
Lepilemur_dorsalis	1623.7
Lepilemur_edwardsi	1571.2
Lepilemur_leucopus	1741.5
Lepilemur_microdon	1556.5
