species	trait_value
Alouatta_seniculus	827
Aotus_trivirgatus	394
Ateles_geoffroyi	1625
Avahi_laniger	284
Avahi_occidentalis	265
Callimico_goeldii	253
Callithrix_jacchus	191
Carlito_syrichta	92.700000000000003
Cebuella_pygmaea	133
Cebus_albifrons	931
Cercopithecus_ascanius	1052
Cercopithecus_mitis	1265
Cheirogaleus_major	332
Cheirogaleus_medius	198
Daubentonia_madagascariensis	1538
Erythrocebus_patas	1339
Eulemur_fulvus	641
Galago_senegalensis	163
Galagoides_demidovii	181
Gorilla_gorilla	4871
Hylobates_lar	1264
Indri_indri	838
Lagothrix_lagotricha	1395
Lepilemur_ruficaudatus	302
Lophocebus_albigena	1639
Loris_tardigradus	256
Macaca_mulatta	1220
Microcebus_murinus	103
Miopithecus_talapoin	706
Nasalis_larvatus	1268
Nycticebus_coucang	510
Otolemur_crassicaudatus	386
Pan_troglodytes	2750
Papio_anubis	2111
Perodicticus_potto	661
Piliocolobus_badius	937
Pithecia_monachus	675
Propithecus_verreauxi	664
Pygathrix_nemaeus	942
Saguinus_midas	243
Saguinus_oedipus	256
Saimiri_sciureus	413
Varecia_variegata	985
