species	trait_value
Callithrix_jacchus	543.27165354330702
Daubentonia_madagascariensis	356.75
Eulemur_flavifrons	157.979166666667
Eulemur_macaco	148
Eulemur_mongoz	299.1875
Eulemur_rubriventer	396.5
Eulemur_sanfordi	384.347222222222
Galago_moholi	579
Gorilla_gorilla	228.498214285714
Hapalemur_griseus	537.25
Lemur_catta	231.5625
Macaca_arctoides	442.75806451612902
Macaca_fascicularis	384.68181818181802
Macaca_mulatta	358.645605870233
Macaca_nemestrina	545.94938271604894
Nycticebus_pygmaeus	284
Pan_paniscus	382.20324675324702
Pan_troglodytes	271.17594163249402
Pongo_pygmaeus	256.32014652014698
Propithecus_tattersalli	689
Saguinus_oedipus	338.14714147286799
Varecia_variegata	375.29166666666703
