species	trait_value
Callithrix_jacchus	6.6906640624999998
Cebuella_pygmaea	6.2947222222222203
Cheirogaleus_medius	9.4800000000000004
Daubentonia_madagascariensis	7.2013020833333297
Eulemur_albifrons	7.0410416666666702
Eulemur_collaris	7.6892182539682503
Eulemur_coronatus	8.4869047619047606
Eulemur_flavifrons	8.4030072463768093
Eulemur_fulvus	8.7858333333333292
Eulemur_macaco	7.8748125
Eulemur_mongoz	8.7199166666666699
Eulemur_rubriventer	8.8224166666666708
Eulemur_rufifrons	8.0471547619047605
Eulemur_sanfordi	7.4753333333333298
Galago_moholi	8.3275000000000006
Gorilla_gorilla	4.5044006211180099
Hapalemur_griseus	11.4510185185185
Lemur_catta	7.2693958333333297
Leontopithecus_chrysomelas	6.3233333333333297
Leontopithecus_rosalia	5.6954642857142899
Loris_tardigradus	5.5133333333333301
Macaca_arctoides	5.0964516129032296
Macaca_fascicularis	5.5
Macaca_mulatta	5.6346227558624404
Macaca_nemestrina	6.18100013497462
Macaca_nigra	5.0999999999999996
Microcebus_murinus	8.4100000000000001
Mirza_zaza	7.7231666666666703
Nomascus_leucogenys	6.2999999999999998
Nycticebus_pygmaeus	5.2800000000000002
Pan_paniscus	5.7051309523809497
Pan_troglodytes	5.2647945967874303
Pongo_pygmaeus	5.0457804232804202
Propithecus_coquereli	7.7937044817927204
Propithecus_tattersalli	6.9299999999999997
Saguinus_oedipus	5.6729559108527097
Saimiri_sciureus	7.3887753395109197
Varecia_rubra	8.7405833333333298
Varecia_variegata	9.4033999999999995
