species	trait_value
Alouatta_seniculus	510
Aotus_trivirgatus	243
Ateles_geoffroyi	732
Avahi_laniger	241
Avahi_occidentalis	222
Callimico_goeldii	138
Callithrix_jacchus	90
Carlito_syrichta	69
Cebuella_pygmaea	81.799999999999997
Cebus_albifrons	390
Cercopithecus_ascanius	694
Cercopithecus_mitis	617
Cheirogaleus_major	149
Cheirogaleus_medius	65.299999999999997
Daubentonia_madagascariensis	1044
Erythrocebus_patas	693
Eulemur_fulvus	422
Galago_senegalensis	107
Galagoides_demidovii	59.899999999999999
Gorilla_gorilla	2729
Hylobates_lar	1136
Indri_indri	848
Lagothrix_lagotricha	680
Lepilemur_ruficaudatus	194
Lophocebus_albigena	630
Loris_tardigradus	99.700000000000003
Macaca_mulatta	639
Microcebus_murinus	40.100000000000001
Miopithecus_talapoin	259
Nasalis_larvatus	855
Nycticebus_coucang	212
Otolemur_crassicaudatus	181
Pan_troglodytes	2018
Papio_anubis	1309
Perodicticus_potto	328
Piliocolobus_badius	814
Pithecia_monachus	289
Propithecus_verreauxi	443
Pygathrix_nemaeus	723
Saguinus_midas	120
Saguinus_oedipus	107
Saimiri_sciureus	168
Varecia_variegata	608
