species	trait_value
Aotus_trivirgatus	182.15151515151501
Callithrix_jacchus	151.31609195402299
Cebuella_pygmaea	50.2222222222222
Cheirogaleus_medius	73.3333333333333
Daubentonia_madagascariensis	17.8125
Eulemur_albifrons	21.9583333333333
Eulemur_collaris	36.988605442176897
Eulemur_coronatus	26.125
Eulemur_flavifrons	20.469696969697001
Eulemur_fulvus	15
Eulemur_macaco	29.2239583333333
Eulemur_mongoz	25.882666666666701
Eulemur_rubriventer	31.037500000000001
Eulemur_rufifrons	30.526388888888899
Eulemur_sanfordi	21.391666666666701
Galago_moholi	29.75
Gorilla_gorilla	29.3407738095238
Hapalemur_griseus	52.254385964912302
Lemur_catta	30.065909090909098
Leontopithecus_chrysomelas	117.583333333333
Leontopithecus_rosalia	160.51428571428599
Loris_tardigradus	66
Macaca_arctoides	35.297348484848499
Macaca_fascicularis	42.515000000000001
Macaca_mulatta	37.0501505822402
Macaca_nemestrina	38.3333333333333
Macaca_nigra	23.6666666666667
Mirza_zaza	132.388888888889
Nomascus_leucogenys	20.5
Nycticebus_pygmaeus	97
Pan_paniscus	16.920238095238101
Pan_troglodytes	23.8706745887614
Pongo_pygmaeus	13.5325837742504
Propithecus_coquereli	23.514705882352899
Propithecus_tattersalli	24.3333333333333
Saimiri_sciureus	112.054327510097
Varecia_rubra	28.250980392156901
Varecia_variegata	46.592592592592602
