species	trait_value
Aotus_trivirgatus	79.727272727272705
Callithrix_jacchus	13.2752808988764
Cebuella_pygmaea	13.5
Cheirogaleus_medius	153.333333333333
Daubentonia_madagascariensis	10.5989583333333
Eulemur_albifrons	58.0833333333333
Eulemur_collaris	65.829365079365104
Eulemur_coronatus	79.821428571428598
Eulemur_flavifrons	174.56060606060601
Eulemur_fulvus	60
Eulemur_macaco	93.420833333333306
Eulemur_mongoz	48.121333333333297
Eulemur_rubriventer	68.506666666666703
Eulemur_rufifrons	61.146153846153801
Eulemur_sanfordi	95.891666666666694
Galago_moholi	35.5
Gorilla_gorilla	29.046279761904799
Hapalemur_griseus	73.973684210526301
Lemur_catta	89.6619565217391
Leontopithecus_chrysomelas	82.9583333333333
Leontopithecus_rosalia	61.164285714285697
Loris_tardigradus	74.1666666666667
Macaca_arctoides	45.106060606060602
Macaca_fascicularis	41.886363636363598
Macaca_mulatta	43.212976300077798
Macaca_nemestrina	18.3333333333333
Macaca_nigra	34.8333333333333
Mirza_zaza	163.270833333333
Nomascus_leucogenys	26
Nycticebus_pygmaeus	66.8333333333333
Pan_paniscus	33.628373015873002
Pan_troglodytes	36.017744807274099
Pongo_pygmaeus	17.642548500881801
Propithecus_coquereli	52.014705882352899
Propithecus_tattersalli	19.6666666666667
Saimiri_sciureus	79.876388888888897
Varecia_rubra	94.138235294117607
Varecia_variegata	56.450000000000003
