species	trait_value
Allenopithecus_nigroviridis	2.21
Allochrocebus_lhoesti	1.8420000000000001
Alouatta_caraya	1.542
Alouatta_guariba	2.419
Alouatta_palliata	1.7030000000000001
Alouatta_pigra	1.109
Alouatta_seniculus	1.464
Aotus_trivirgatus	1.1100000000000001
Ateles_geoffroyi	1.579
Ateles_paniscus	1.5669999999999999
Avahi_laniger	0.94499999999999995
Brachyteles_arachnoides	1.3360000000000001
Cacajao_calvus	1.2549999999999999
Callithrix_jacchus	1.056
Callithrix_penicillata	1.0800000000000001
Cebuella_pygmaea	1.034
Cebus_capucinus	1.5820000000000001
Cebus_olivaceus	1.573
Cercocebus_torquatus	2.4689999999999999
Cercopithecus_ascanius	1.5660000000000001
Cercopithecus_cephus	1.702
Cercopithecus_diana	1.619
Cercopithecus_erythrogaster	1.77
Cercopithecus_mitis	1.8540000000000001
Cercopithecus_mona	1.9059999999999999
Cercopithecus_neglectus	1.7769999999999999
Cercopithecus_nictitans	1.613
Cercopithecus_petaurista	1.778
Cercopithecus_pogonias	1.748
Cercopithecus_wolfi	1.883
Cheirogaleus_medius	0.94199999999999995
Cheracebus_torquatus	1.0589999999999999
Chiropotes_satanas	1.155
Chlorocebus_aethiops	1.8089999999999999
Chlorocebus_pygerythrus	1.6970000000000001
Colobus_angolensis	1.845
Colobus_guereza	1.506
Colobus_polykomos	1.77
Colobus_satanas	1.7549999999999999
Erythrocebus_patas	2.1320000000000001
Eulemur_coronatus	1.1120000000000001
Eulemur_fulvus	1.1759999999999999
Eulemur_macaco	1.0229999999999999
Eulemur_mongoz	1.1950000000000001
Eulemur_rubriventer	1.0509999999999999
Gorilla_beringei	1.8100000000000001
Gorilla_gorilla	1.7390000000000001
Hapalemur_griseus	1.0049999999999999
Hylobates_klossii	0.96599999999999997
Hylobates_lar	1.1599999999999999
Hylobates_muelleri	1.054
Hylobates_pileatus	0.99299999999999999
Lagothrix_lagotricha	1.77
Lemur_catta	1.1859999999999999
Leontocebus_fuscicolis	1.014
Lophocebus_albigena	2.1869999999999998
Macaca_fascicularis	2.258
Macaca_fuscata	2.04
Macaca_mulatta	2.0720000000000001
Macaca_nemestrina	2.3599999999999999
Macaca_nigra	2.6120000000000001
Macaca_silenus	2.4369999999999998
Macaca_sinica	1.9770000000000001
Macaca_sylvanus	2.02
Macaca_tonkeana	1.9390000000000001
Mandrillus_leucophaeus	4.0999999999999996
Mandrillus_sphinx	5.2629999999999999
Miopithecus_talapoin	1.694
Nasalis_larvatus	2.2029999999999998
Nomascus_concolor	1.125
Pan_paniscus	1.3839999999999999
Pan_troglodytes	1.423
Papio_anubis	2.2210000000000001
Papio_cynocephalus	3.0030000000000001
Papio_hamadryas	2.7429999999999999
Papio_ursinus	3.839
Piliocolobus_badius	1.5569999999999999
Pithecia_pithecia	1.1739999999999999
Plecturocebus_moloch	1.079
Pongo_abelii	1.71
Pongo_pygmaeus	1.6930000000000001
Presbytis_comata	1.508
Presbytis_melalophos	1.712
Procolobus_verus	2.0049999999999999
Propithecus_verreauxi	1.0609999999999999
Pygathrix_nemaeus	2.1080000000000001
Rhinopithecus_avunculus	1.9890000000000001
Rhinopithecus_roxellana	2.508
Saguinus_midas	0.99099999999999999
Saguinus_oedipus	1
Saimiri_boliviensis	1.6140000000000001
Saimiri_oerstedii	1.6399999999999999
Saimiri_sciureus	1.4139999999999999
Sapajus_apella	1.4550000000000001
Semnopithecus_entellus	1.7030000000000001
Semnopithecus_vetulus	1.8160000000000001
Symphalangus_syndactylus	1.1890000000000001
Theropithecus_gelada	3.2290000000000001
Trachypithecus_cristatus	1.6970000000000001
Trachypithecus_francoisi	1.7190000000000001
Trachypithecus_obscurus	1.8140000000000001
Trachypithecus_pileatus	1.887
