species	trait_value
Callithrix_jacchus	148.62686567164201
Cheirogaleus_medius	142
Daubentonia_madagascariensis	143.143229166667
Eulemur_albifrons	147.10833333333301
Eulemur_collaris	143.86626984127
Eulemur_coronatus	147.064102564103
Eulemur_flavifrons	145.81212121212101
Eulemur_fulvus	146.75
Eulemur_macaco	147.41555555555601
Eulemur_mongoz	146.66466666666699
Eulemur_rubriventer	145.09333333333299
Eulemur_rufifrons	146.21923076923099
Eulemur_sanfordi	148.566666666667
Galago_moholi	153.333333333333
Gorilla_gorilla	137.48569775132299
Hapalemur_griseus	150.092105263158
Lemur_catta	147.98115942029
Leontopithecus_chrysomelas	148.25
Leontopithecus_rosalia	150.92857142857099
Loris_tardigradus	146
Macaca_arctoides	147.35037878787901
Macaca_fascicularis	146.21428571428601
Macaca_mulatta	145.86046695555399
Macaca_nemestrina	141.666666666667
Macaca_nigra	154.833333333333
Mirza_zaza	147.166666666667
Nomascus_leucogenys	150.5
Nycticebus_pygmaeus	147.166666666667
Pan_paniscus	140.33353174603201
Pan_troglodytes	140.55342496403401
Pongo_pygmaeus	140.14506172839501
Propithecus_coquereli	149.263888888889
Propithecus_tattersalli	144.666666666667
Saimiri_sciureus	152.357142857143
Varecia_rubra	145.14074074074099
Varecia_variegata	145.77407407407401
