species	trait_value
Alouatta_seniculus	37388
Aotus_trivirgatus	12128
Ateles_geoffroyi	79946
Avahi_laniger	6550
Avahi_occidentalis	6026
Callimico_goeldii	7733
Callithrix_jacchus	5318
Carlito_syrichta	2258
Cebuella_pygmaea	3099
Cebus_albifrons	52113
Cercopithecus_ascanius	51279
Cercopithecus_mitis	56277
Cheirogaleus_major	4313
Cheirogaleus_medius	1941
Daubentonia_madagascariensis	30196
Erythrocebus_patas	84770
Eulemur_fulvus	15566
Galago_senegalensis	2997
Galagoides_demidovii	2240
Gorilla_gorilla	369878
Hylobates_lar	76001
Indri_indri	25551
Lagothrix_lagotricha	74822
Lepilemur_ruficaudatus	4708
Lophocebus_albigena	77049
Loris_tardigradus	4551
Macaca_mulatta	71080
Microcebus_murinus	1129
Miopithecus_talapoin	30166
Nasalis_larvatus	70873
Nycticebus_coucang	8495
Otolemur_crassicaudatus	6545
Pan_troglodytes	313493
Papio_anubis	154987
Perodicticus_potto	9418
Piliocolobus_badius	57885
Pithecia_monachus	24920
Pongo_pygmaeus	238300
Propithecus_verreauxi	17040
Pygathrix_nemaeus	56189
Saguinus_midas	7055
Saguinus_oedipus	7052
Saimiri_sciureus	17635
Varecia_variegata	20461
