species	trait_value
Alouatta_palliata	0.65059999999999996
Alouatta_seniculus	1.5414000000000001
Aotus_nigriceps	1.9362999999999999
Aotus_trivirgatus	4.1359000000000004
Ateles_belzebuth	1.3499000000000001
Ateles_geoffroyi	1.7633000000000001
Ateles_paniscus	1.8238000000000001
Avahi_laniger	4.0766
Brachyteles_arachnoides	0.78210000000000002
Cacajao_calvus	1.4503999999999999
Callicebus_personatus	2.8206000000000002
Callimico_goeldii	3.1333000000000002
Callithrix_jacchus	5.5145999999999997
Callithrix_penicillata	8.8622999999999994
Carlito_syrichta	5.5822000000000003
Cebuella_pygmaea	5.5846
Cebus_albifrons	2.1911999999999998
Cebus_capucinus	2.996
Cebus_olivaceus	1.5632999999999999
Tarsius_bancanus	7.976
Cercocebus_galeritus	1.4892000000000001
Cercopithecus_ascanius	3.3233000000000001
Cercopithecus_diana	1.2683
Cercopithecus_mitis	2.8025000000000002
Cercopithecus_neglectus	1.5196000000000001
Cercopithecus_nictitans	1.2396
Cercopithecus_pogonias	1.4461999999999999
Cheracebus_torquatus	1.3165
Chiropotes_satanas	1.4770000000000001
Colobus_angolensis	0.45229999999999998
Colobus_guereza	0.73499999999999999
Colobus_polykomos	0.71079999999999999
Colobus_satanas	0.32619999999999999
Daubentonia_madagascariensis	4.3817000000000004
Erythrocebus_patas	0.53369999999999995
Eulemur_albifrons	2.4148999999999998
Eulemur_collaris	2.6480999999999999
Eulemur_coronatus	2.3046000000000002
Eulemur_fulvus	0.98419999999999996
Eulemur_mongoz	3.0789
Eulemur_rubriventer	0.87990000000000002
Eulemur_rufus	0.98280000000000001
Eulemur_sanfordi	2.5390000000000001
Galagoides_zanzibaricus	15.5976
Gorilla_gorilla	0.37969999999999998
Hapalemur_aureus	0.77359999999999995
Hapalemur_griseus	3.8108
Hoolock_hoolock	1.7376
Hylobates_agilis	2.1394000000000002
Hylobates_klossii	2.3500000000000001
Hylobates_lar	2.5066000000000002
Hylobates_moloch	3.5815999999999999
Hylobates_muelleri	1.5642
Hylobates_pileatus	2.4022999999999999
Indri_indri	0.63959999999999995
Lagothrix_lagotricha	0.58050000000000002
Lemur_catta	3.5670000000000002
Leontocebus_fuscicolis	3.1707000000000001
Leontopithecus_rosalia	2.5028000000000001
Lophocebus_albigena	0.75580000000000003
Macaca_fascicularis	1.96
Macaca_fuscata	0.68920000000000003
Macaca_mulatta	0.58330000000000004
Macaca_nemestrina	1.2059
Macaca_radiata	1.6533
Macaca_silenus	1.5399
Macaca_sylvanus	0.9093
Mandrillus_sphinx	0.51800000000000002
Mico_humeralifer	3.1387999999999998
Miopithecus_talapoin	2.3780000000000001
Nasalis_larvatus	0.29830000000000001
Nomascus_concolor	1.2352000000000001
Pan_paniscus	0.40250000000000002
Pan_troglodytes	1.0224
Papio_anubis	1.8549
Papio_cynocephalus	1.3523000000000001
Papio_hamadryas	2.339
Papio_ursinus	1.6434
Piliocolobus_badius	0.75209999999999999
Piliocolobus_kirkii	1.6205000000000001
Piliocolobus_rufomitratus	1.4025000000000001
Piliocolobus_tephrosceles	0.71340000000000003
Pithecia_pithecia	3.7155999999999998
Plecturocebus_moloch	1.8423
Pongo_pygmaeus	0.22500000000000001
Presbytis_comata	0.71879999999999999
Presbytis_melalophos	2.2513000000000001
Procolobus_verus	1.4353
Propithecus_verreauxi	4.3491
Rhinopithecus_bieti	0.23219999999999999
Saguinus_imperator	3.8921999999999999
Saguinus_mystax	3.5777000000000001
Saguinus_oedipus	6.8742000000000001
Saimiri_oerstedii	9.5284999999999993
Saimiri_sciureus	1.9345000000000001
Sapajus_apella	1.9839
Semnopithecus_entellus	0.3886
Symphalangus_syndactylus	1.1890000000000001
Theropithecus_gelada	2.0571000000000002
Trachypithecus_cristatus	0.89539999999999997
Trachypithecus_obscurus	0.74050000000000005
Trachypithecus_phayrei	0.90539999999999998
Trachypithecus_pileatus	0.43919999999999998
Varecia_variegata	0.76749999999999996
