species	trait_value
Aotus_trivirgatus	6.8294117647058803
Callithrix_jacchus	7.03722222222222
Cebuella_pygmaea	6.7166666666666703
Cheirogaleus_medius	7.4666666666666703
Daubentonia_madagascariensis	5.87916666666667
Eulemur_albifrons	8.1868055555555603
Eulemur_collaris	7.4555952380952402
Eulemur_coronatus	7.2428571428571402
Eulemur_flavifrons	7.85219696969697
Eulemur_fulvus	8.0250000000000004
Eulemur_macaco	7.6859374999999996
Eulemur_mongoz	6.6312666666666704
Eulemur_rubriventer	7.80108333333333
Eulemur_rufifrons	7.9001282051282002
Eulemur_sanfordi	7.5691666666666704
Galago_moholi	7.5125000000000002
Gorilla_gorilla	7.17390376984127
Hapalemur_griseus	6.4100000000000001
Lemur_catta	7.14560283687943
Leontopithecus_chrysomelas	6.93472222222222
Leontopithecus_rosalia	6.7939285714285704
Loris_tardigradus	7.93333333333333
Macaca_arctoides	7.7791666666666703
Macaca_fascicularis	7.2301020408163303
Macaca_mulatta	7.0005881218333901
Macaca_nemestrina	7.2261490049302504
Macaca_nigra	7.3833333333333302
Microcebus_murinus	7.9000000000000004
Mirza_zaza	6.5069444444444402
Nomascus_leucogenys	6.6500000000000004
Nycticebus_pygmaeus	7.7333333333333298
Pan_paniscus	7.0585714285714296
Pan_troglodytes	7.2992928580710297
Pongo_pygmaeus	7.3629232804232796
Propithecus_coquereli	7.0048319327731097
Propithecus_tattersalli	6.3333333333333304
Saimiri_sciureus	6.7130500402375404
Varecia_rubra	7.3992592592592601
Varecia_variegata	7.75233333333333
