species	trait_value
Alouatta_seniculus	4.5199999999999996
Aotus_trivirgatus	1.72
Ateles_geoffroyi	3.6000000000000001
Avahi_laniger	1.76
Avahi_occidentalis	1.6399999999999999
Callimico_goeldii	1.1000000000000001
Callithrix_jacchus	0.93999999999999995
Carlito_syrichta	0.71999999999999997
Cebuella_pygmaea	0.56000000000000005
Cebus_albifrons	4.3200000000000003
Cercopithecus_ascanius	4.1399999999999997
Cercopithecus_mitis	4.2800000000000002
Cheirogaleus_major	1.04
Cheirogaleus_medius	0.59999999999999998
Daubentonia_madagascariensis	3.8199999999999998
Erythrocebus_patas	4.6600000000000001
Eulemur_fulvus	2.0800000000000001
Galago_senegalensis	0.57999999999999996
Galagoides_demidovii	0.44
Gorilla_gorilla	18.98
Hylobates_lar	3.9199999999999999
Indri_indri	3.4399999999999999
Lagothrix_lagotricha	5.1200000000000001
Lepilemur_ruficaudatus	1.3799999999999999
Lophocebus_albigena	6.54
Loris_tardigradus	1.0600000000000001
Macaca_mulatta	7.6799999999999997
Microcebus_murinus	0.26000000000000001
Miopithecus_talapoin	2.9399999999999999
Nasalis_larvatus	5.6399999999999997
Nycticebus_coucang	2.0800000000000001
Otolemur_crassicaudatus	1.74
Pan_paniscus	5.7800000000000002
Pan_troglodytes	10.18
Papio_anubis	12.32
Perodicticus_potto	2.2200000000000002
Piliocolobus_badius	4.46
Pithecia_monachus	2.6400000000000001
Plecturocebus_moloch	2
Pongo_pygmaeus	12.619999999999999
Propithecus_verreauxi	3.3599999999999999
Pygathrix_nemaeus	4.3600000000000003
Saguinus_midas	1.04
Saguinus_oedipus	1.0800000000000001
Saimiri_sciureus	1.52
Varecia_variegata	3.2200000000000002
