Alignment	Tree	Taxa	Sites	Model	LogLikelihood
C4A.Homo_sapiens.filter2.phy	C4A.Homo_sapiens.filter2.phy.nw	164	1720	LG	-16078.5524575725
C4BPA.Homo_sapiens.filter2.phy	C4BPA.Homo_sapiens.filter2.phy.nw	230	579	LG	-13699.7867116129
C4BPB.Homo_sapiens.filter2.phy	C4BPB.Homo_sapiens.filter2.phy.nw	217	250	LG	-4657.68592760464
C4orf17.Homo_sapiens.filter2.phy	C4orf17.Homo_sapiens.filter2.phy.nw	187	347	LG	-6206.51237097823
C4orf19.Homo_sapiens.filter2.phy	C4orf19.Homo_sapiens.filter2.phy.nw	214	308	LG	-6754.5578241298
